IDtrajet;Tags;Ville de Départ;Ville d'arrivée;A partir du;Jusqu'au;Client;Véhicule;Distance / Durée;Devis;Prix;Actions;Départ_Pays;Départ_Latitude;Départ_Longitude;Arrivé_Pays;Arrivé_Latitude;Arrivé_Longitude
;;Etting (FR57);Forbach (FR57);11/03/2024 à 09:00 Rdv 9:00-11:00;11/03/2024 à 12:00;;;;;;; FR57;49,0603;7,0018;FR57);49,1908;6,9017
;;Marly (FR59);Avrigny (FR60);11/03/2024 à 10:00 Rdv 10:00-12:00;11/03/2024 à 15:00;;;;;;; FR59;50,4684;3,0993;FR60);49,4123;2,3842
;;Vayrac (FR46);Castelnau-d\'estrétefonds (FR31);11/03/2024 à 09:00 Rdv 9:00-11:00;11/03/2024 à 16:00;;;;;;; FR46;44,9444;1,7783;FR31);43,7821;1,3641
;;Bassens (FR33);Mérignac (FR33);13/03/2024 à 08:30;13/03/2024 à 12:00 Rdv 10:00-12:00;;;;;;; FR33;44,8909;-0,5195;FR33);44,8378;-0,6433
;;Mérignac (FR33);Ambarès-et-lagrave (FR33);13/03/2024 à 10:00 Rdv 10:00-12:00;13/03/2024 à 16:00;;;;;;; FR33;44,8386;-0,6432;FR33);44,9131;-0,5487
;;Mérignac (FR33);Ambarès-et-lagrave (FR33);13/03/2024 à 10:00 Rdv 10:00-12:00;13/03/2024 à 16:00;;;;;;; FR33;44,8386;-0,6432;FR33);44,9131;-0,5487
;;Sauveterre de guyenne (FR33);Bassens (FR33);13/03/2024 à 09:00;13/03/2024 à 11:30;;;;;;; FR33;44,6339;-0,1893;FR33);44,8873;-0,5516
;;Herve (BE46);Antwerpen (BE20);04/03/2024 à 09:00;08/03/2024 à 15:00;;;;;;; BE46;50,6389;5,7979;BE20);51,2195;4,4024
;;Marckolsheim (FR67);Jarville-la-malgrange (FR54);12/03/2024 à 08:30;12/03/2024 à 13:00 Rdv 11:00-13:00;;;;;;; FR67;48,1662;7,5299;FR54);48,6472;6,1838
;;Jarville-la-malgrange (FR54);Molsheim (FR67);12/03/2024 à 11:00 Rdv 11:00-13:00;12/03/2024 à 16:00;;;;;;; FR54;48,6641;6,1762;FR67);48,5414;7,5014
;;Ligne (FR44);Le cellier (FR44);18/03/2024 à 09:00;18/03/2024 à 11:30;;;;;;; FR44;47,2942;-1,3402;FR44);47,2767;-1,3236
;;Julienas (FR69);Ambérieu-en-bugey (FR01);12/03/2024 à 09:00 Rdv 9:00-11:00;12/03/2024 à 13:00;;;;;;; FR69;46,2019;4,6612;FR01);45,9601;5,3263
;;La chapelle-des-fougeretz (FR35);Les andelys (FR27);18/03/2024 à 09:00;18/03/2024 à 13:30;;;;;;; FR35;48,1764;-1,6279;FR27);49,245;1,4097
;;Les andelys (FR27);Saint-aignan-de-grand-lieu (FR44);18/03/2024 à 14:00;18/03/2024 à 16:00;;;;;;; FR27;49,2444;1,4132;FR44);47,1;-1,65
;;Lacanau (FR33);Bassens (FR33);19/03/2024 à 09:00;19/03/2024 à 15:30;;;;;;; FR33;45,0039;-1,0937;FR33);44,8873;-0,5516
;;Lacanau (FR33);Bassens (FR33);19/03/2024 à 09:00;19/03/2024 à 15:30;;;;;;; FR33;45,0039;-1,0937;FR33);44,8873;-0,5516
;;Ligne (FR44);Le cellier (FR44);22/03/2024 à 09:00;22/03/2024 à 11:30;;;;;;; FR44;47,2942;-1,3402;FR44);47,2767;-1,3236
;;Entzheim (FR67);Thiaucourt-regniéville (FR54);21/03/2024 à 09:36;21/03/2024 à 14:00 Rdv 12:00-14:00;;;;;;; FR67;48,5399;7,6347;FR54);48,9844;5,9042
;;Sauveterre de guyenne (FR33);Bassens (FR33);19/03/2024 à 09:00;19/03/2024 à 11:30;;;;;;; FR33;44,6339;-0,1893;FR33);44,8873;-0,5516
;;Diest (BE32);Ieper (BE89);12/03/2024 à 09:00;12/03/2024 à 14:00;;;;;;; BE32;50,9805;5,1889;BE89);50,8503;2,8833
;;Diest (BE32);Ieper (BE89);12/03/2024 à 09:00;12/03/2024 à 14:00;;;;;;; BE32;50,9805;5,1889;BE89);50,8503;2,8833
;;Marckolsheim (FR67);Nancy (FR54);14/03/2024 à 08:30;14/03/2024 à 13:00 Rdv 11:00-13:00;;;;;;; FR67;48,1662;7,5299;FR54);48,6921;6,1844
