IDtrajet,Tags,Ville de Départ,Ville d'arrivée,A partir du,Jusqu'au,Client,Véhicule,Distance / Durée,Devis,Prix,Actions,Départ_Pays,Départ_Latitude,Départ_Longitude,Arrivé_Pays,Arrivé_Latitude,Arrivé_Longitude
735003,aller,Asse (BE17),Asse (BE17),14/03/2024 à 09:00,14/03/2024 à 10:15,ASTARA WESTERN EUROPE,16m3100% Electrique,5 km00h15,0-2,~ 21€ PRESTATION,Accéder, FR44,50.9094333,4.2015646,,50.9094333,4.2015646
735001,aller,Asse (BE17),Asse (BE17),14/03/2024 à 09:00,14/03/2024 à 10:00,ASTARA WESTERN EUROPE,16m3100% Electrique,5 km00h15,0-2,~ 21€ PRESTATION,Accéder, FR35,50.9094333,4.2015646,,50.9094333,4.2015646
734999,aller,Asse (BE17),Asse (BE17),14/03/2024 à 09:00,14/03/2024 à 10:15,ASTARA WESTERN EUROPE,16m3100% Electrique,5 km00h15,0-2,~ 21€ PRESTATION,Accéder, FR33,50.9094333,4.2015646,,50.9094333,4.2015646
735001,aller,Asse (BE17),Asse (BE17),14/03/2024 à 09:00,14/03/2024 à 10:00,ASTARA WESTERN EUROPE,16m3100% Electrique,5 km00h15,0-2,~ 21€ PRESTATION,Accéder, FR44,50.9094333,4.2015646,,50.9094333,4.2015646
734999,aller,Asse (BE17),Asse (BE17),14/03/2024 à 09:00,14/03/2024 à 10:15,ASTARA WESTERN EUROPE,16m3100% Electrique,5 km00h15,0-2,~ 21€ PRESTATION,Accéder, FR33,50.9094333,4.2015646,,50.9094333,4.2015646
734995,aller,Asse (BE17),Asse (BE17),14/03/2024 à 09:00,14/03/2024 à 10:00,ASTARA WESTERN EUROPE,16m3100% Electrique,5 km00h15,0-2,~ 21€ PRESTATION,Accéder, BE32,50.9094333,4.2015646,,50.9094333,4.2015646
734993,aller,Asse (BE17),Asse (BE17),14/03/2024 à 09:00,14/03/2024 à 10:00,ASTARA WESTERN EUROPE,16m3100% Electrique,5 km00h15,0-2,~ 21€ PRESTATION,Accéder, FR67,50.9094333,4.2015646,,50.9094333,4.2015646
734990,aller,Asse (BE17),Asse (BE17),13/03/2024 à 09:00,13/03/2024 à 11:00,ASTARA WESTERN EUROPE,16m3100% Electrique,5 km00h15,0-2,~ 21€ PRESTATION,Accéder, FR67,50.9094333,4.2015646,,50.9094333,4.2015646
734988,aller,Asse (BE17),Asse (BE17),13/03/2024 à 09:00,13/03/2024 à 10:45,ASTARA WESTERN EUROPE,16m3100% Electrique,5 km00h15,0-2,~ 21€ PRESTATION,Accéder, FR67,50.9094333,4.2015646,,50.9094333,4.2015646
734986,aller,Asse (BE17),Asse (BE17),13/03/2024 à 09:00,13/03/2024 à 10:45,ASTARA WESTERN EUROPE,16m3100% Electrique,5 km00h15,0-2,~ 21€ PRESTATION,Accéder, FR57,50.9094333,4.2015646,,50.9094333,4.2015646
734984,aller,Asse (BE17),Asse (BE17),13/03/2024 à 09:00,13/03/2024 à 10:45,ASTARA WESTERN EUROPE,16m3100% Electrique,5 km00h15,0-2,~ 21€ PRESTATION,Accéder, BE35,50.9094333,4.2015646,,50.9094333,4.2015646
734900,aller,Asse (BE17),Asse (BE17),15/03/2024 à 09:00,15/03/2024 à 10:00,ASTARA WESTERN EUROPE,16m3100% Electrique,5 km00h15,0-2,~ 21€ PRESTATION,Accéder, FR76,50.9094333,4.2015646,,50.9094333,4.2015646
734805,aller,Dourdan (FR91),Marly-la-ville (FR95),12/03/2024 à 08:30 Rdv 8:30-9:30,13/03/2024 à 10:00,GROUPE RCM,BerlineHybride,89 km01h30,0-2,~ 44€ PRESTATION,Accéder, BE28,48.5288442,2.0153689,,49.0823913,2.5034402
734761,aller,Nice (FR06),Mougins (FR06),18/03/2024 à 08:30,18/03/2024 à 12:00 Rdv 10:00-12:00,VGRF - PLAQUE SUD,BerlineHybride,31 km00h45,03-mai,~ 32€ PRESTATION,Accéder, BE78,43.7009358,7.2683912,,43.6008898,6.9963543
734656,aller,Péronne (FR80),Boulogne-sur-mer (FR62),14/03/2024 à 09:00,14/03/2024 à 12:00,GUEUDET,SuvThermique,165 km02h00,6+,~ 47€ PRESTATION,Accéder, FR54,49.9289578,2.9321899,,50.7259985,1.6118771
734651,aller,Péronne (FR80),Boulogne-sur-mer (FR62),13/03/2024 à 09:00,13/03/2024 à 12:00,GUEUDET,SuvThermique,165 km02h00,03-mai,~ 47€ PRESTATION,Accéder, FR67,49.9289578,2.9321899,,50.7259985,1.6118771
734643,aller,Péronne (FR80),Boulogne-sur-mer (FR62),12/03/2024 à 09:00,12/03/2024 à 12:00,GUEUDET,SuvThermique,165 km02h00,03-mai,~ 47€ PRESTATION,Accéder, BE19,49.9289578,2.9321899,,50.7259985,1.6118771
734498,aller,Poitiers (FR86),Saint-cyr-sur-loire (FR37),22/03/2024 à 08:30 Rdv 8:30-9:30,22/03/2024 à 15:00 Rdv 14:00-15:00,EMIL FREY - ABCIS POITOU,BerlineHybride,106 km01h15,03-mai,~ 41€ PRESTATION,Accéder, BE19,46.5802596,0.340196,,47.4052448,0.6658199
734482,aller,Nîmes (FR30),Agen (FR47),13/03/2024 à 09:00,13/03/2024 à 16:00 Rdv 14:00-16:00,BASTIDE,MonospaceThermique,401 km04h00,6+,~ 70€ PRESTATION,Accéder, BE92,43.8374249,4.3600687,,44.2015827,0.6176112
734479,aller,Saint-quentin (FR02),Attin (FR62),19/03/2024 à 09:00,19/03/2024 à 12:00,GUEUDET,SuvThermique,176 km02h00,6+,~ 48€ PRESTATION,Accéder,FR68),49.8465253,3.2876843,,50.4878746,1.7437837
734383,aller,Wavrin (FR59),Paris (FR75),12/03/2024 à 08:30,12/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,SuvHybride,221 km02h45,03-mai,~ 52€ PRESTATION,Accéder,BE20),50.570559,2.932545,,48.8534951,2.3483915
734373,aller,Villevêque (FR49),Paris (FR75),18/03/2024 à 10:00,18/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,CitadineThermique,284 km03h00,03-mai,~ 59€ PRESTATION,Accéder,FR69),47.5601026,-0.4230772,,48.8534951,2.3483915
734361,aller,Ambérieu-en-bugey (FR01),Besançon (FR25),19/03/2024 à 08:30,19/03/2024 à 13:00 Rdv 11:00-13:00,ARVAL RESTITUTION,BerlineThermique,209 km02h15,6+,~ 51€ PRESTATION,Accéder,FR38),45.9584309,5.3595099,,47.2380222,6.0243622
734357,aller,Ambérieu-en-bugey (FR01),Besançon (FR25),21/03/2024 à 08:30,21/03/2024 à 12:00 Rdv 10:00-12:00,ARVAL RESTITUTION,BerlineThermique,209 km02h15,6+,~ 51€ PRESTATION,Accéder,FR38),45.9584309,5.3595099,,47.2380222,6.0243622
734351,aller,Villevêque (FR49),Nantes (FR44),20/03/2024 à 08:30,20/03/2024 à 12:00 Rdv 10:00-12:00,ARVAL RESTITUTION,BerlineThermique,106 km01h15,03-mai,~ 41€ PRESTATION,Accéder,BE43),47.5601026,-0.4230772,,47.2186371,-1.5541362
734347,aller,Avrigny (FR60),Paris (FR75),12/03/2024 à 10:00,12/03/2024 à 17:00 Rdv 15:00-17:00,ARVAL RESTITUTION,BerlineThermique,90 km01h30,6+,~ 39€ PRESTATION,Accéder,FR06),49.3817833,2.57932,,48.8534951,2.3483915
734336,aller,Miramas (FR13),Auzeville-tolosane (FR31),13/03/2024 à 09:00,13/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,CitadineThermique,348 km03h30,6+,~ 65€ PRESTATION,Accéder,BE17),43.582733,5.0025809,,43.5292199,1.4829226
734328,aller,Forbach (FR57),Mundolsheim (FR67),12/03/2024 à 12:00,12/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,SuvHybride,120 km01h30,0-2,~ 42€ PRESTATION,Accéder,BE71),49.1862822,6.8958562,,48.6416216,7.7150066
