IDtrajet,Ville de Départ,Ville d'arrivée,A partir du,Jusqu'au,Départ_Latitude,Départ_Longitude,Arrivé_Latitude,Arrivé_Longitude
732557,Corbas (FR69),Aix-en-provence (FR13),18/03/2024 à 08:30,18/03/2024 à 14:00 Rdv 12:00-14:00,45.6662663,4.9015205,43.5298424,5.4474738
736320,Murcia (ES30),Alicante-alacant (ES03),15/03/2024 à 12:00 Rdv 12:00-13:00,15/03/2024 à 14:30,37.9923795,-1.1305431,38.3436365,-0.4881708
735933,Mérignac (FR33),Ambarès-et-lagrave (FR33),26/03/2024 à 10:00 Rdv 10:00-12:00,26/03/2024 à 12:00,44.842168,-0.6469022,44.9259011,-0.4881846
735809,Mérignac (FR33),Ambarès-et-lagrave (FR33),19/03/2024 à 10:00 Rdv 10:00-12:00,19/03/2024 à 16:00,44.842168,-0.6469022,44.9259011,-0.4881846
734122,Clermont-ferrand (FR63),Ambérieu-en-bugey (FR01),12/03/2024 à 14:00 Rdv 14:00-16:00,13/03/2024 à 12:00,45.7774551,3.0819427,45.9584309,5.3595099
736110,Avignon (FR84),Ambérieu-en-bugey (FR01),19/03/2024 à 13:00 Rdv 13:00-15:00,19/03/2024 à 16:00,4.87174987793,43.9343986511,45.9584309,5.3595099
734268,Grenoble (FR38),Ambérieu-en-bugey (FR01),26/03/2024 à 10:00 Rdv 10:00-12:00,26/03/2024 à 16:00,45.1875602,5.7357819,45.9584309,5.3595099
736146,Montceau-les-mines (FR71),Ambérieu-en-bugey (FR01),20/03/2024 à 09:00 Rdv 9:00-11:00,20/03/2024 à 16:00,46.6740455,4.3631681,45.9584309,5.3595099
734252,Besançon (FR25),Ambérieu-en-bugey (FR01),18/03/2024 à 10:00 Rdv 10:00-12:00,18/03/2024 à 16:00,47.24267101995112,6.009830063015576,45.9584309,5.3595099
736118,Toulon (FR83),Ambérieu-en-bugey (FR01),18/03/2024 à 11:30 Rdv 11:30-13:30,18/03/2024 à 16:00,43.13384507846755,5.930004113739942,45.9584309,5.3595099
735453,Montbonnot saint martin (FR38),Ambérieu-en-bugey (FR01),01/04/2024 à 13:00 Rdv 13:00-15:00,01/04/2024 à 17:00,45.2264498,5.80266,45.9584309,5.3595099
733180,Namur (BE51),Antwerpen (BE20),07/03/2024 à 09:00,13/03/2024 à 15:00,50.4665284,4.8661892,51.2211097,4.3997081
734701,Leuven (BE30),Antwerpen (BE20),11/03/2024 à 09:00,14/03/2024 à 15:00,50.879202,4.7011675,51.2211097,4.3997081
729018,Herve (BE46),Antwerpen (BE20),11/03/2024 à 09:00,18/03/2024 à 15:00,50.63916,5.7931012,51.2211097,4.3997081
736273,Lormont (FR33),Arc-et-senans (FR25),19/03/2024 à 09:00,20/03/2024 à 12:00,-0.5182007,44.876407,5.77872991562,47.0317001343
736244,Cran-gevrier (FR74),Archamps (FR74),18/03/2024 à 09:00,18/03/2024 à 11:00 Rdv 9:00-11:00,45.9079102,6.106538,46.1354538,6.1332458
736457,Lapalud (FR84),Arles (FR13),26/03/2024 à 07:00,28/03/2024 à 16:00,44.3061604,4.6865913,43.6776223,4.6309653
735924,Nevers (FR58),Arrelles (FR10),14/03/2024 à 09:30,14/03/2024 à 16:00 Rdv 14:00-16:00,46.9876601,3.1577203,48.0486365,4.2754243
734479,Saint-quentin (FR02),Attin (FR62),19/03/2024 à 09:00,19/03/2024 à 12:00,49.8465253,3.2876843,50.4878746,1.7437837
736109,Miramas (FR13),Avignon (FR84),19/03/2024 à 08:30,19/03/2024 à 15:00 Rdv 13:00-15:00,43.582733,5.0025809,4.87174987793,43.9343986511
735297,St christophe sur conde (FR27),Avrigny (FR60),19/03/2024 à 15:00 Rdv 15:00-17:00,20/03/2024 à 11:00,49.2850151288818,0.6008015792494854,49.3817833,2.57932
